max_iterate=27
error_bd=0.000001
x0=20
it_count  	       x0      	new root	fx 	         dfx             error
            0          2.7000e+01   1.3537e+01   7.2700e+02   5.4000e+01   1.3463e+01

   1.0000e+00   1.3537e+01   6.8424e+00   1.8125e+02   2.7074e+01   6.6946e+00

   2.0000e+00   6.8424e+00   3.5673e+00   4.4818e+01   1.3685e+01   3.2750e+00

   3.0000e+00   3.5673e+00   2.0640e+00   1.0726e+01   7.1347e+00   1.5034e+00

   4.0000e+00   2.0640e+00   1.5165e+00   2.2601e+00   4.1280e+00   5.4750e-01

   5.0000e+00   1.5165e+00   1.4177e+00   2.9975e-01   3.0330e+00   9.8831e-02

   6.0000e+00   1.4177e+00   1.4142e+00   9.7676e-03   2.8353e+00   3.4450e-03

   7.0000e+00   1.4142e+00   1.4142e+00   1.1868e-05   2.8284e+00   4.1959e-06

   8.0000e+00   1.4142e+00   1.4142e+00   1.7606e-11   2.8284e+00   6.2245e-12
   


max_iterate=0.0001
error_bd=0.00001
x0=20

it_count  	       x0      	new root	fx 	         dfx             error
            0            1.0000e-04   1.0000e+04  -2.0000e+00   2.0000e-04   1.0000e+04

   1.0000e+00   1.0000e+04   5.0000e+03   1.0000e+08   2.0000e+04   5.0000e+03

   2.0000e+00   5.0000e+03   2.5000e+03   2.5000e+07   1.0000e+04   2.5000e+03

   3.0000e+00   2.5000e+03   1.2500e+03   6.2500e+06   5.0000e+03   1.2500e+03

   4.0000e+00   1.2500e+03   6.2500e+02   1.5625e+06   2.5000e+03   6.2500e+02

   5.0000e+00   6.2500e+02   3.1250e+02   3.9062e+05   1.2500e+03   3.1250e+02

   6.0000e+00   3.1250e+02   1.5625e+02   9.7656e+04   6.2500e+02   1.5625e+02

   7.0000e+00   1.5625e+02   7.8134e+01   2.4413e+04   3.1251e+02   7.8121e+01

   8.0000e+00   7.8134e+01   3.9080e+01   6.1028e+03   1.5627e+02   3.9054e+01

   9.0000e+00   3.9080e+01   1.9565e+01   1.5252e+03   7.8159e+01   1.9514e+01

   1.0000e+01   1.9565e+01   9.8338e+00   3.8080e+02   3.9131e+01   9.7316e+00

   1.1000e+01   9.8338e+00   5.0186e+00   9.4704e+01   1.9668e+01   4.8152e+00

   1.2000e+01   5.0186e+00   2.7086e+00   2.3186e+01   1.0037e+01   2.3100e+00


   1.3000e+01   2.7086e+00   1.7235e+00   5.3363e+00   5.4171e+00   9.8508e-01
   1.4000e+01   1.7235e+00   1.4420e+00   9.7037e-01   3.4470e+00   2.8152e-01

   1.5000e+01   1.4420e+00   1.4145e+00   7.9252e-02   2.8839e+00   2.7480e-02

   1.6000e+01   1.4145e+00   1.4142e+00   7.5518e-04   2.8290e+00   2.6694e-04

   1.7000e+01   1.4142e+00   1.4142e+00   7.1259e-08   2.8284e+00   2.5194e-08

