Bisection Method
----------------
     it_count               a                     b                        c                   fc         b-c/ 2^(n+1)

   1.0000e+00            0         2.0000e+00   1.0000e+00   6.5853e-01   5.0000e-01
   2.0000e+00            0           1.0000e+00   5.0000e-01   2.0574e-02   1.2500e-01
   3.0000e+00            0            5.0000e-01   2.5000e-01  -2.4740e-01   3.1250e-02
   4.0000e+00   2.5000e-01   5.0000e-01   3.7500e-01  -1.1627e-01   7.8125e-03
   5.0000e+00   3.7500e-01   5.0000e-01   4.3750e-01  -4.8676e-02   1.9531e-03
   6.0000e+00   4.3750e-01   5.0000e-01   4.6875e-01  -1.4271e-02   4.8828e-04
   7.0000e+00   4.6875e-01   5.0000e-01   4.8438e-01   3.0947e-03   1.2207e-04
   8.0000e+00   4.6875e-01   4.8438e-01   4.7656e-01  -5.6024e-03   3.0518e-05
   9.0000e+00   4.7656e-01   4.8438e-01   4.8047e-01  -1.2574e-03   7.6294e-06
   1.0000e+01   4.8047e-01   4.8438e-01   4.8242e-01   9.1774e-04   1.9073e-06
   1.1000e+01   4.8047e-01   4.8242e-01   4.8145e-01  -1.7005e-04   4.7684e-07
    1.2000e+01   4.8145e-01   4.8242e-01   4.8193e-01   3.7379e-04   1.1921e-07
   1.3000e+01   4.8145e-01   4.8193e-01   4.8169e-01   1.0185e-04   2.9802e-08
   1.4000e+01   4.8145e-01   4.8169e-01   4.8157e-01  -3.4103e-05   7.4506e-09
   
   
Newton's method:
----------------
   it_count             x0                new root              fx                  dfx              error
            0          1.0000e+00   1.2339e+00  -3.4147e-01   1.4597e+00   2.3393e-01

   1.0000e+00   1.2339e+00   1.1971e+00   7.8794e-02   2.1373e+00   3.6865e-02

   2.0000e+00   1.1971e+00   1.1961e+00   1.9976e-03   2.0290e+00   9.8449e-04

   3.0000e+00   1.1961e+00   1.1961e+00   1.4203e-06   2.0262e+00   7.0099e-07

   4.0000e+00   1.1961e+00   1.1961e+00   7.2003e-13   2.0262e+00   3.5537e-13
